id	uniprot	string	ensembl
CASP3	P42574	9606.ENSP00000311032	ENSG00000164305
BOK	Q9UMX3	9606.ENSP00000314132	ENSG00000176720
MAP4K2	Q12851	9606.ENSP00000294066	ENSG00000168067
CHUK	O15111	9606.ENSP00000359424	ENSG00000213341
APAF1	O14727	9606.ENSP00000448165	ENSG00000120868
TRAF2	Q12933	9606.ENSP00000247668	ENSG00000127191
FOS	P01100	9606.ENSP00000306245	ENSG00000170345
TNFRSF1B	P20333	9606.ENSP00000365435	ENSG00000028137
TNFRSF1A	P19438	9606.ENSP00000162749	ENSG00000067182
PIK3CA	P42336	9606.ENSP00000263967	ENSG00000121879
LTA	P01374	9606.ENSP00000403495	ENSG00000230279
LTA	P01374	9606.ENSP00000403495	ENSG00000226979
LTA	P01374	9606.ENSP00000403495	ENSG00000231408
TMBIM6	P55061	9606.ENSP00000389277	ENSG00000139644
LTB	Q06643	9606.ENSP00000410481	ENSG00000204487
LTB	Q06643	9606.ENSP00000410481	ENSG00000206437
LTB	Q06643	9606.ENSP00000410481	ENSG00000223448
LTB	Q06643	9606.ENSP00000410481	ENSG00000238114
LTB	Q06643	9606.ENSP00000410481	ENSG00000227507
LTB	Q06643	9606.ENSP00000410481	ENSG00000236925
LTB	Q06643	9606.ENSP00000410481	ENSG00000236237
LTB	Q06643	9606.ENSP00000410481	ENSG00000231314
BIRC2	Q13490	9606.ENSP00000477613	ENSG00000110330
JDP2	Q8WYK2	9606.ENSP00000267569	ENSG00000140044
BIRC3	Q13489	9606.ENSP00000263464	ENSG00000023445
ATF6B	Q99941	9606.ENSP00000364349	ENSG00000168468
ATF6B	Q99941	9606.ENSP00000364349	ENSG00000213676
ATF6B	Q99941	9606.ENSP00000364349	ENSG00000228628
ATF6B	Q99941	9606.ENSP00000364349	ENSG00000234539
XIAP	P98170	9606.ENSP00000360242	ENSG00000101966
RELA	Q04206	9606.ENSP00000384273	ENSG00000173039
RELB	Q01201	9606.ENSP00000221452	ENSG00000104856
MAPK9	P45984	9606.ENSP00000394560	ENSG00000050748
MAPK8	P45983	9606.ENSP00000378974	ENSG00000107643
MAPK1	P28482	9606.ENSP00000215832	ENSG00000100030
BAK1	Q16611	9606.ENSP00000363591	ENSG00000030110
BCL2L2-PABPN1	Q92843	9606.ENSP00000250405	ENSG00000129473
BCL2L2-PABPN1	Q92843	9606.ENSP00000250405	ENSG00000258643
MAP4K3	Q8IVH8	9606.ENSP00000263881	ENSG00000011566
MAPK3	P27361	9606.ENSP00000263025	ENSG00000102882
MAP4K4	O95819	9606.ENSP00000343658	ENSG00000071054
MAP3K1	Q13233	9606.ENSP00000382423	ENSG00000095015
HSPA1L	P34931	9606.ENSP00000364805	ENSG00000204390
HSPA1L	P34931	9606.ENSP00000364805	ENSG00000206383
HSPA1L	P34931	9606.ENSP00000364805	ENSG00000234258
HSPA1L	P34931	9606.ENSP00000364805	ENSG00000236251
BIK	Q13323	9606.ENSP00000216115	ENSG00000100290
GZMB	P10144	9606.ENSP00000216341	ENSG00000100453
CFLAR	O15519	9606.ENSP00000312455	ENSG00000003402
GZMH	P20718	9606.ENSP00000216338	ENSG00000100450
MAPK10	P53779	NA	ENSG00000109339
PRKRA	O75569	9606.ENSP00000318176	ENSG00000180228
BAX	Q07812	9606.ENSP00000293288	ENSG00000087088
FAS	P25445	9606.ENSP00000498466	ENSG00000026103
HSPA1B	P0DMV9	NA	ENSG00000204388
HSPA1B	P0DMV9	NA	ENSG00000224501
HSPA1B	P0DMV9	NA	ENSG00000212866
HSPA1B	P0DMV9	NA	ENSG00000231555
HSPA1B	P0DMV9	NA	ENSG00000232804
HSPA1A	P0DMV8	9606.ENSP00000364801	ENSG00000204389
HSPA1A	P0DMV8	9606.ENSP00000364801	ENSG00000215328
HSPA1A	P0DMV8	9606.ENSP00000364801	ENSG00000235941
HSPA1A	P0DMV8	9606.ENSP00000364801	ENSG00000234475
HSPA1A	P0DMV8	9606.ENSP00000364801	ENSG00000237724
