From	Entry	Reviewed
ENSG00000102984	O75541	reviewed
ENSG00000103199	O60304	reviewed
ENSG00000103241	Q12946	reviewed
ENSG00000103326	O75808	reviewed
ENSG00000103343	Q15697	reviewed
ENSG00000103449	Q9NSC2	reviewed
ENSG00000103460	O15405	reviewed
ENSG00000103495	P56270	reviewed
ENSG00000104064	Q06547	reviewed
ENSG00000104177	Q9P2K5	reviewed
ENSG00000104447	Q9UHF7	reviewed
ENSG00000104804	O00295	reviewed
ENSG00000104856	Q01201	reviewed
ENSG00000104903	P12980	reviewed
ENSG00000105136	Q96HQ0	reviewed
ENSG00000105229	Q8N2W9	reviewed
ENSG00000105261	O00110	reviewed
ENSG00000105392	O43186	reviewed
ENSG00000105419	Q99687	reviewed
ENSG00000105497	Q9Y473	reviewed
ENSG00000105516	Q10586	reviewed
ENSG00000105610	Q13351	reviewed
ENSG00000105672	O00321	reviewed
ENSG00000105698	Q15853	reviewed
ENSG00000105708	P17017	reviewed
ENSG00000105717	Q9BYU1	reviewed
ENSG00000105722	P50548	reviewed
ENSG00000105732	Q6ZN55	reviewed
ENSG00000105750	Q03923	reviewed
ENSG00000105821	Q99543	reviewed
ENSG00000105856	O60381	reviewed
ENSG00000105866	Q02446	reviewed
ENSG00000105880	P56178	reviewed
ENSG00000105967	O14948	reviewed
ENSG00000105991	P49639	reviewed
ENSG00000105996	O43364	reviewed
ENSG00000105997	O43365	reviewed
ENSG00000106004	P20719	reviewed
ENSG00000106006	P31267	reviewed
ENSG00000106031	P31271	reviewed
ENSG00000106038	P49640	reviewed
ENSG00000106052	Q86VP1	reviewed
ENSG00000106261	P17029	reviewed
ENSG00000106331	O43316	reviewed
ENSG00000106410	O60393	reviewed
ENSG00000106459	Q16656	reviewed
ENSG00000106511	P50222	reviewed
ENSG00000106536	P78424	reviewed
ENSG00000106546	P35869	reviewed
ENSG00000106571	P10071	reviewed
ENSG00000106689	P50458	reviewed
ENSG00000106852	Q9UPM6	reviewed
ENSG00000106948	Q7Z591	reviewed
ENSG00000107175	O43889	reviewed
ENSG00000107187	Q9UBR4	reviewed
ENSG00000107249	Q8NEA6	reviewed
ENSG00000107485	P23771	reviewed
ENSG00000107807	P31314	reviewed
ENSG00000107859	O75364	reviewed
ENSG00000108001	Q9H4W6	reviewed
ENSG00000108064	Q00059	reviewed
ENSG00000108175	Q9ULJ6	reviewed
ENSG00000108312	P17480	reviewed
ENSG00000108509	O94983	reviewed
ENSG00000108511	P17509	reviewed
ENSG00000108788	Q9UH92	reviewed
ENSG00000108813	Q92988	reviewed
ENSG00000108924	Q16534	reviewed
ENSG00000109101	O15353	reviewed
ENSG00000109132	Q99453	reviewed
ENSG00000109320	P19838	reviewed
ENSG00000109381	Q15723	reviewed
ENSG00000109685	O96028	reviewed
ENSG00000109705	P78367	reviewed
ENSG00000109787	P57682	reviewed
ENSG00000109851	A6NMT0	reviewed
ENSG00000109906	Q05516	reviewed
ENSG00000110693	P35712	reviewed
ENSG00000110851	Q9UKN5	reviewed
ENSG00000110925	Q9H175	reviewed
ENSG00000111046	P23409	reviewed
ENSG00000111049	P13349	reviewed
ENSG00000111087	P08151	reviewed
ENSG00000111145	P41970	reviewed
ENSG00000111206	Q08050	reviewed
ENSG00000111249	O14529	reviewed
ENSG00000111269	O60519	reviewed
ENSG00000111424	P11473	reviewed
ENSG00000111704	Q9H9S0	reviewed
ENSG00000111783	Q33E94	reviewed
ENSG00000112033	Q03181	reviewed
ENSG00000112041	O00294	reviewed
ENSG00000112182	Q9BYV9	reviewed
ENSG00000112238	Q9H4Q3	reviewed
ENSG00000112242	O00716	reviewed
ENSG00000112246	P81133	reviewed
ENSG00000112333	Q9Y466	reviewed
ENSG00000112365	O43167	reviewed
ENSG00000112561	P19484	reviewed
ENSG00000112658	P11831	reviewed
ENSG00000112837	O95935	reviewed
ENSG00000113196	O96004	reviewed
ENSG00000113387	P53999	reviewed
ENSG00000113430	P78413	reviewed
ENSG00000113580	P04150	reviewed
ENSG00000113658	Q99717	reviewed
ENSG00000113716	Q12766	reviewed
ENSG00000113722	P47902	reviewed
ENSG00000113916	P41182	reviewed
ENSG00000114126	Q14188	reviewed
ENSG00000114315	Q14469	reviewed
ENSG00000114439	Q8WY36	reviewed
ENSG00000114853	Q9UFB7	reviewed
ENSG00000114861	Q9H334	reviewed
ENSG00000115112	Q9NZI6	reviewed
ENSG00000115297	O43763	reviewed
ENSG00000115415	P42224	reviewed
ENSG00000115507	P32242	reviewed
ENSG00000115568	P52746	reviewed
ENSG00000115738	Q02363	reviewed
ENSG00000115816	Q03701	reviewed
ENSG00000115844	Q07687	reviewed
ENSG00000115956	P08567	reviewed
ENSG00000115966	P15336	reviewed
ENSG00000116016	Q99814	reviewed
ENSG00000116017	Q99856	reviewed
ENSG00000116035	Q9UIW0	reviewed
ENSG00000116044	Q16236	reviewed
ENSG00000116132	P54821	reviewed
ENSG00000116560	P23246	reviewed
ENSG00000116580	Q3T8J9	reviewed
ENSG00000116604	Q14814	reviewed
ENSG00000116731	Q13029	reviewed
ENSG00000116793	Q9UMS5	reviewed
ENSG00000116809	Q13105	reviewed
ENSG00000116819	Q6VUC0	reviewed
ENSG00000116833	O00482	reviewed
ENSG00000116990	P12524	reviewed
ENSG00000117000	Q13129	reviewed
ENSG00000117010	Q5T5D7	reviewed
ENSG00000117036	P41162	reviewed
ENSG00000117318	Q02535	reviewed
ENSG00000117475	Q9H2G9	reviewed
ENSG00000117595	O14896	reviewed
ENSG00000117625	Q9P2K3	reviewed
ENSG00000117707	Q92786	reviewed
ENSG00000117713	O14497	reviewed
ENSG00000118156	Q9H0D2	reviewed
ENSG00000118217	P18850	reviewed
ENSG00000118260	P16220	reviewed
ENSG00000118263	O75840	reviewed
ENSG00000118495	Q9UM63	reviewed
ENSG00000118513	P10242	reviewed
ENSG00000118526	O43680	reviewed
ENSG00000118620	Q9H8G1	reviewed
ENSG00000118689	O43524	reviewed
ENSG00000118707	Q9GZN2	reviewed
ENSG00000118922	Q9Y4X4	reviewed
ENSG00000119042	Q9UPW6	reviewed
ENSG00000119138	Q13886	reviewed
ENSG00000119508	Q92570	reviewed
ENSG00000119547	O95948	reviewed
ENSG00000119574	Q96K62	reviewed
ENSG00000119608	Q3B8N5	reviewed
ENSG00000119614	P58304	reviewed
ENSG00000119715	O95718	reviewed
ENSG00000119725	Q86VK4	reviewed
ENSG00000119866	Q9H165	reviewed
ENSG00000119919	Q8TAU0	reviewed
ENSG00000119950	P50539	reviewed
ENSG00000120068	P17481	reviewed
ENSG00000120075	P09067	reviewed
ENSG00000120093	P14651	reviewed
ENSG00000120094	P14653	reviewed
ENSG00000120149	P35548	reviewed
ENSG00000120669	Q9NX45	reviewed
ENSG00000120690	P32519	reviewed
ENSG00000120693	O15198	reviewed
ENSG00000120738	P18146	reviewed
ENSG00000120784	Q9Y2G7	reviewed
ENSG00000120798	P13056	reviewed
ENSG00000120837	P25208	reviewed
ENSG00000120963	Q9Y5V0	reviewed
ENSG00000121068	Q13207	reviewed
ENSG00000121075	P57082	reviewed
ENSG00000121297	Q63HK5	reviewed
ENSG00000121406	Q6P9A3	reviewed
ENSG00000121413	Q8TBC5	reviewed
ENSG00000121417	Q13398	reviewed
ENSG00000121454	Q969G2	reviewed
ENSG00000121864	Q9UID6	reviewed
ENSG00000121903	P17040	reviewed
ENSG00000122034	Q92664	reviewed
ENSG00000122145	Q9Y458	reviewed
ENSG00000122180	P15173	reviewed
ENSG00000122386	O95201	reviewed
ENSG00000122515	Q8NF64	reviewed
ENSG00000122592	P31268	reviewed
ENSG00000122691	Q15672	reviewed
ENSG00000122778	Q9HCM3	reviewed
ENSG00000122859	Q9Y4Z2	reviewed
ENSG00000122877	P11161	reviewed
ENSG00000123095	Q9C0J9	reviewed
ENSG00000123268	P18846	reviewed
ENSG00000123307	Q9HD90	reviewed
ENSG00000123358	P22736	reviewed
ENSG00000123364	P31276	reviewed
ENSG00000123388	O43248	reviewed
ENSG00000123405	Q16621	reviewed
ENSG00000123407	P31275	reviewed
ENSG00000123411	Q9H2S9	reviewed
ENSG00000123576	Q8N693	reviewed
ENSG00000123636	Q9UIF8	reviewed
ENSG00000123685	Q9NR55	reviewed
ENSG00000123933	Q14582	reviewed
ENSG00000124092	Q8NI51	reviewed
ENSG00000124097	B2RPK0	reviewed
ENSG00000124191	Q96NM4	reviewed
ENSG00000124201	Q9P2E3	reviewed
ENSG00000124203	Q5JPB2	reviewed
ENSG00000124216	O95863	reviewed
ENSG00000124232	Q9UBG7	reviewed
ENSG00000124440	Q9Y2N7	reviewed
ENSG00000124444	Q9H609	reviewed
ENSG00000124459	Q02386	reviewed
ENSG00000124496	Q96PN7	reviewed
ENSG00000124613	Q9UJN7	reviewed
ENSG00000124664	O95238	reviewed
ENSG00000124766	Q06945	reviewed
ENSG00000124782	Q92766	reviewed
ENSG00000124813	Q13950	reviewed
ENSG00000124827	O75603	reviewed
ENSG00000124831	Q32MZ4	reviewed
ENSG00000124920	Q9Y2G1	reviewed
ENSG00000125285	Q9Y651	reviewed
ENSG00000125347	P10914	reviewed
ENSG00000125398	P48436	reviewed
ENSG00000125482	Q15361	reviewed
ENSG00000125492	Q9BZE3	reviewed
ENSG00000125520	Q9NR83	reviewed
ENSG00000125533	Q8NDY6	reviewed
ENSG00000125618	Q06710	reviewed
ENSG00000125740	P53539	reviewed
ENSG00000125798	Q9Y261	reviewed
ENSG00000125812	Q9H116	reviewed
ENSG00000125813	P15863	reviewed
ENSG00000125816	Q9H2Z4	reviewed
ENSG00000125820	O95096	reviewed
ENSG00000125826	Q9BYM8	reviewed
ENSG00000125846	P52736	reviewed
ENSG00000125850	Q9BRP0	reviewed
ENSG00000125878	Q12870	reviewed
ENSG00000125945	Q9C0F3	reviewed
ENSG00000125952	P61244	reviewed
ENSG00000125968	P41134	reviewed
ENSG00000126003	Q9UPG8	reviewed
ENSG00000126351	P10827	reviewed
ENSG00000126368	P20393	reviewed
ENSG00000126456	Q14653	reviewed
ENSG00000126561	P42229	reviewed
ENSG00000126603	Q9BZE0	reviewed
ENSG00000126733	Q96NX9	reviewed
ENSG00000126746	Q8TF68	reviewed
ENSG00000126767	P19419	reviewed
ENSG00000126778	Q15475	reviewed
ENSG00000126804	Q9Y2K1	reviewed
ENSG00000127081	Q5JVG2	reviewed
ENSG00000127124	Q5T1R4	reviewed
ENSG00000127152	Q9C0K0	reviewed
ENSG00000127337	O95619	reviewed
ENSG00000127528	Q9Y5W3	reviewed
ENSG00000127903	Q9Y2P0	reviewed
ENSG00000128000	Q9Y6R6	reviewed
ENSG00000128272	P18848	reviewed
ENSG00000128573	O15409	reviewed
ENSG00000128604	Q13568	reviewed
ENSG00000128610	A0PJY2	reviewed
ENSG00000128645	Q9GZZ0	reviewed
ENSG00000128652	P31249	reviewed
ENSG00000128709	P28356	reviewed
ENSG00000128710	P28358	reviewed
ENSG00000128713	P31277	reviewed
ENSG00000128714	P35453	reviewed
ENSG00000129028	Q9P2Z0	reviewed
ENSG00000129071	O95243	reviewed
ENSG00000129152	P15172	reviewed
ENSG00000129173	A0AVK6	reviewed
ENSG00000129194	O60248	reviewed
ENSG00000129514	P55317	reviewed
ENSG00000129534	Q6P0N0	reviewed
ENSG00000129535	P54845	reviewed
ENSG00000129654	Q92949	reviewed
ENSG00000129911	Q9BXK1	reviewed
ENSG00000130182	Q96SZ4	reviewed
ENSG00000130338	Q9NRJ4	reviewed
ENSG00000130522	P17535	reviewed
ENSG00000130544	Q8N988	reviewed
ENSG00000130584	Q86UZ6	reviewed
ENSG00000130675	P50219	reviewed
ENSG00000130684	Q9Y3M9	reviewed
ENSG00000130700	Q9BWX5	reviewed
ENSG00000130711	Q9H4Q4	reviewed
ENSG00000130751	Q99742	reviewed
ENSG00000130803	Q96PQ6	reviewed
ENSG00000130818	Q9BUY5	reviewed
ENSG00000130844	Q9NQX6	reviewed
ENSG00000130856	Q9UL36	reviewed
ENSG00000130940	Q86V15	reviewed
ENSG00000131061	Q9BYN7	reviewed
ENSG00000131115	Q86WZ6	reviewed
ENSG00000131127	Q15928	reviewed
ENSG00000131196	O95644	reviewed
ENSG00000131264	O14627	reviewed
ENSG00000131408	P55055	reviewed
ENSG00000131668	Q9HBU1	reviewed
ENSG00000131721	Q9BQY4	reviewed
ENSG00000131759	P10276	reviewed
ENSG00000131788	Q9Y6X2	reviewed
ENSG00000131845	Q9HCX3	reviewed
ENSG00000131848	Q9BUG6	reviewed
ENSG00000131849	P52740	reviewed
ENSG00000131910	Q15466	reviewed
ENSG00000131914	Q9H9Z2	reviewed
ENSG00000131931	Q9NVV9	reviewed
ENSG00000132005	P22670	reviewed
ENSG00000132010	P17024	reviewed
ENSG00000132024	Q6P1N0	reviewed
ENSG00000132170	P37231	reviewed
ENSG00000132604	Q15554	reviewed
ENSG00000132846	Q96IU2	reviewed
ENSG00000133250	Q96IQ9	reviewed
ENSG00000133740	Q15329	reviewed
ENSG00000133794	O00327	reviewed
ENSG00000133937	P56915	reviewed
ENSG00000134046	Q9UBB5	reviewed
ENSG00000134107	O14503	reviewed
ENSG00000134138	O14770	reviewed
ENSG00000134317	Q9NZI5	reviewed
ENSG00000134323	P04198	reviewed
ENSG00000134438	Q9Y2V3	reviewed
ENSG00000134532	P35711	reviewed
ENSG00000134595	P41225	reviewed
ENSG00000134852	O15516	reviewed
ENSG00000134954	P14921	reviewed
ENSG00000135100	P20823	reviewed
ENSG00000135111	O15119	reviewed
ENSG00000135164	Q9Y222	reviewed
ENSG00000135373	Q9NZC4	reviewed
ENSG00000135374	Q9UKW6	reviewed
ENSG00000135457	Q12800	reviewed
ENSG00000135547	Q9UBP5	reviewed
ENSG00000135625	Q05215	reviewed
ENSG00000135638	Q04741	reviewed
ENSG00000135899	Q9HB58	reviewed
ENSG00000135903	P23760	reviewed
ENSG00000136169	Q96T68	reviewed
ENSG00000136327	O15522	reviewed
ENSG00000136352	P43699	reviewed
ENSG00000136367	Q9C0A1	reviewed
ENSG00000136451	Q14119	reviewed
ENSG00000136535	Q16650	reviewed
ENSG00000136574	P43694	reviewed
ENSG00000136630	Q14774	reviewed
ENSG00000136770	Q96KC8	reviewed
ENSG00000136826	O43474	reviewed
ENSG00000136866	Q9Y6Q3	reviewed
ENSG00000136870	O75820	reviewed
ENSG00000136931	Q13285	reviewed
ENSG00000136936	P23025	reviewed
ENSG00000136944	O60663	reviewed
ENSG00000136997	P01106	reviewed
ENSG00000137090	Q9Y5R6	reviewed
ENSG00000137166	Q8IVH2	reviewed
ENSG00000137185	O15535	reviewed
ENSG00000137203	P05549	reviewed
ENSG00000137265	Q15306	reviewed
ENSG00000137270	Q9NP62	reviewed
ENSG00000137273	Q12947	reviewed
ENSG00000137309	P17096	reviewed
ENSG00000137310	Q9Y242	reviewed
ENSG00000137492	O43422	reviewed
ENSG00000137504	Q9NS37	reviewed
ENSG00000137709	Q9UKI9	reviewed
ENSG00000137834	O43541	reviewed
ENSG00000137871	Q6N043	reviewed
ENSG00000138073	Q9HCU5	reviewed
ENSG00000138083	O95343	reviewed
ENSG00000138136	P52954	reviewed
ENSG00000138375	Q9NZC9	reviewed
ENSG00000138378	Q14765	reviewed
ENSG00000138380	Q8N187	reviewed
ENSG00000138738	Q9NQX1	reviewed
ENSG00000138795	Q9UJU2	reviewed
ENSG00000139083	P41212	reviewed
ENSG00000139154	Q6ZN18	reviewed
ENSG00000139352	P50553	reviewed
ENSG00000139445	Q96NZ1	reviewed
ENSG00000139515	P52945	reviewed
ENSG00000139613	Q8TAQ2	reviewed
ENSG00000139651	Q8NDX6	reviewed
ENSG00000139800	Q96T25	reviewed
ENSG00000140009	Q92731	reviewed
ENSG00000140044	Q8WYK2	reviewed
ENSG00000140262	Q99081	reviewed
ENSG00000140265	Q8IWY8	reviewed
ENSG00000140382	Q9NP66	reviewed
ENSG00000140548	Q8N1W2	reviewed
ENSG00000140836	Q15911	reviewed
ENSG00000140968	Q02556	reviewed
ENSG00000140987	Q9NX65	reviewed
ENSG00000141002	Q9BQ70	reviewed
ENSG00000141027	O75376	reviewed
ENSG00000141040	Q9HBT7	reviewed
ENSG00000141448	Q92908	reviewed
ENSG00000141510	P04637	reviewed
ENSG00000141568	Q01167	reviewed
ENSG00000141579	Q32MQ0	reviewed
ENSG00000141644	Q9UIS9	reviewed
ENSG00000141646	Q13485	reviewed
ENSG00000141905	P08651	reviewed
ENSG00000141946	Q96PE6	reviewed
ENSG00000141956	P57071	reviewed
ENSG00000142025	Q8IXT2	reviewed
ENSG00000142065	Q9HCL3	reviewed
ENSG00000142409	Q6DD87	reviewed
ENSG00000142528	Q8WTR7	reviewed
ENSG00000142539	M0R3H8	unreviewed
ENSG00000142556	Q8N883	reviewed
ENSG00000142599	Q9P2R6	reviewed
ENSG00000142611	Q9HAZ2	reviewed
ENSG00000142700	Q96SC8	reviewed
ENSG00000143006	Q96MA1	reviewed
ENSG00000143032	Q9NY43	reviewed
ENSG00000143067	Q5TEC3	reviewed
ENSG00000143171	P48443	reviewed
ENSG00000143178	O60806	reviewed
ENSG00000143190	P14859	reviewed
ENSG00000143194	Q96JY0	reviewed
ENSG00000143257	Q14994	reviewed
ENSG00000143355	Q9NQ69	reviewed
ENSG00000143365	P51449	reviewed
ENSG00000143373	Q8N1G0	reviewed
ENSG00000143379	Q15047	reviewed
ENSG00000143390	P48382	reviewed
ENSG00000143437	P27540	reviewed
ENSG00000143458	Q8TAK5	reviewed
ENSG00000143578	Q8TEY5	reviewed
ENSG00000143614	Q8WXI9	reviewed
ENSG00000143842	Q9UN79	reviewed
ENSG00000143867	Q8TAX0	reviewed
ENSG00000143995	O00470	reviewed
ENSG00000144026	Q96K75	reviewed
ENSG00000144218	P51826	reviewed
ENSG00000144331	Q569K4	reviewed
ENSG00000144355	P56177	reviewed
ENSG00000144485	Q96HZ4	reviewed
ENSG00000144655	Q96S65	reviewed
ENSG00000144747	P82094	reviewed
ENSG00000144792	Q6AZW8	reviewed
ENSG00000144852	O75469	reviewed
ENSG00000145220	Q9NX58	reviewed
ENSG00000145908	Q96RE9	reviewed
ENSG00000146587	Q9NYW8	reviewed
ENSG00000146592	Q02930	reviewed
ENSG00000146618	Q96RJ6	reviewed
ENSG00000146676	Q96QR8	reviewed
ENSG00000146757	Q03936	reviewed
ENSG00000147117	P51786	reviewed
ENSG00000147118	P17025	reviewed
ENSG00000147124	P51814	reviewed
ENSG00000147180	Q9Y462	reviewed
ENSG00000147421	Q6NT76	reviewed
ENSG00000147488	O60284	reviewed
ENSG00000147596	Q9GZV8	reviewed
ENSG00000147601	P54274	reviewed
ENSG00000147789	P17097	reviewed
ENSG00000147862	O00712	reviewed
ENSG00000148143	Q96JM2	reviewed
ENSG00000148200	Q15406	reviewed
ENSG00000148337	Q9ULV3	reviewed
ENSG00000148513	Q9BXX3	reviewed
ENSG00000148516	P37275	reviewed
ENSG00000148704	Q5SQQ9	reviewed
ENSG00000148737	Q9NQB0	reviewed
ENSG00000148826	Q9C056	reviewed
ENSG00000149050	Q9UL59	reviewed
ENSG00000149054	Q9UL58	reviewed
ENSG00000149136	Q08945	reviewed
ENSG00000149480	O94776	reviewed
ENSG00000149922	O95947	reviewed
ENSG00000149948	P52926	reviewed
ENSG00000150051	Q8IYA7	reviewed
ENSG00000150347	Q14865	reviewed
ENSG00000150907	Q12778	reviewed
ENSG00000151090	P10828	reviewed
ENSG00000151322	Q8IXF0	reviewed
ENSG00000151379	A6NI15	reviewed
ENSG00000151500	Q9P016	reviewed
